File Types,Documentation(mean),Documentation(std),Toolkit(mean),Toolkit(std),Model(mean),Model(std),Application System(mean),Application System(std),MLOps/ AIOps(mean),MLOps/ AIOps(std),DL Framwork(mean),DL Framwork(std)
EOL,0.0013,0.0,0.0001,0.0,0.0094,0.0,0.001,0.0,0.0006,0.0,0.0008,0.0
Others,0.0013,0.0,0.0352,0.0,0.0047,0.0,0.0058,0.0,0.0006,0.0,0.0016,0.0
Model,0.7873428571428571,1.1120725770985873,0.40195072463768117,1.3550803688795228,0.1372908333333333,0.6331971364953985,0.28471351351351354,0.8552540054298907,0.17061256157635468,1.0558886869721182,0.2556962365591398,1.020895552321234
Script/Source,0.0013,0.0,0.0001,0.0,0.0018,0.0,0.0116,0.0,0.0006,0.0,0.0004,0.0
Build/ Package Managemt,0.0020499999999999997,0.0005499999999999999,0.0003,0.0,4.0535978723404265,7.566204935090162,0.0017,0.0,0.0003,0.0,0.025599999999999998,0.004999999999999999
Archival DOC,0.008833333333333334,0.003777418283548817,0.0003,0.0,0.0018,0.0,0.002,0.0,0.0006,0.0,0.0004,0.0
Image,0.0008,0.0,0.0003,0.0,0.0034,0.0014445299120013635,0.001,0.0,0.0021,0.0,0.0018,0.0
Documents,0.0043,0.0028000000000000004,0.0001,0.0,0.0018,0.0,0.002,0.0,0.0021,0.0,0.0008,0.0
Data/Database,0.014198930041152262,0.17342357197257705,6.8371,0.0,0.021520987654320985,0.2586599754365791,2.7565,1.6485999999999998,2.2862333333333336,1.008237810351418,3.3062,0.11520000000000019
Security,0.005300836820083681,0.06195988740980165,0.018499413595021545,0.8803355361288501,0.01111414554374489,0.1007091753162129,0.012777382898239384,0.17235130531469972,0.013459600521931146,0.1654996906251792,0.013649078418230562,0.1592265386982531
3D Graphics,0.0089,0.0,0.0003,0.0,0.0018,0.0,0.0004,0.0,0.0013,0.0,0.0033,0.0
Audio Doc,0.0020499999999999997,0.0005499999999999999,0.0006,0.0,0.0034,0.0014445299120013635,0.0004,0.0,0.0006,0.0,0.001,0.0
Git DOC,0.01118,0.06192839551795745,0.010762932016710976,0.08199660276179628,0.01700103092783505,0.10029900298077338,0.0057516721013118974,0.058325651584155695,0.008348336822516865,0.07059399491511936,0.0036268119431736097,0.046119235559930354
Web Service,0.0008,0.0,0.0005,0.0,0.0051,0.0036433501067012486,0.0004,0.0,0.0021,0.0,0.001,0.0
Video Doc,0.0020499999999999997,0.0005499999999999999,0.0006,0.0,0.0034,0.0014445299120013635,0.0004,0.0,0.0006,0.0,0.0012,0.0
