File Types,MLOps/ AIOps(median),MLOps/ AIOps(MB),,Toolkit(median),Toolkit(MB),,Application System(median),Application System(MB),,DL Framwork(median),DL Framwork(MB),,Documentation(median),Documentation(MB),,Model(median),Model(MB),
EOL,27366.0,26.72,,61216.0,59.78,,2330.0,2.28,,3045.0,2.97,,3820.0,3.73,,483.0,483.0,
Script/Source,5458.0,5.33,,10591.0,10.34,,5160.0,5.04,,13.0,13.0,,0.0,0,,238.0,238.0,
Security,0.0,0,,58426.0,57.06,,217310.0,212.22,,234416.0,228.92,,241960.0,236.29,,680608.0,664.66,
Others,4236.0,4.14,,230699888.0,220.01,,42205.0,41.22,,263774.0,257.59,,0.0,0,,220.0,220.0,
Data/Database,1213.0,1.18,,1238.0,1.21,,1226.0,1.2,,1198.0,1.17,,1080.0,1.05,,1377.0,1.34,
Documents,5294.0,5.17,,101475.0,99.1,,0.0,0,,4105.0,4.01,,381.0,381.0,,8150.0,7.96,
Model,1019620.0,995.72,,25944.5,25.34,,409635.0,400.03,,2261.0,2.21,,12165719.0,11.6,,543.0,543.0,
Archival DOC,15532.0,15.17,,712.0,712.0,,40608.0,39.66,,210.0,210.0,,0.0,0,,17942.0,17.52,
Makefile,1370.0,1.34,,996.0,996.0,,1836.0,1.79,,1832.0,1.79,,3466.0,3.38,,3466.0,3.38,
PEP,378.0,378.0,,566.0,566.0,,0.0,0,,28568.0,27.9,,57.0,57.0,,522765.0,510.51,
Web Service,11004.0,10.75,,1896.0,1.85,,145.0,145.0,,13770.0,13.45,,68608.0,67.0,,539018.0,526.38,
Image,1876.0,1.83,,162.0,162.0,,22.0,22.0,,33.0,33.0,,66384.0,64.83,,69792.0,68.16,
Git DOC,560.5,560.5,,497.5,497.5,,358.0,358.0,,574.0,574.0,,337.0,337.0,,367.0,367.0,
Video Doc,32.0,32.0,,5065.0,4.95,,264.0,264.0,,336.0,336.0,,102.0,102.0,,6128.0,5.98,
Audio Doc,1584.0,1.55,,1584.0,1.55,,255.0,255.0,,154870.0,151.24,,78.0,78.0,,6188.0,6.04,
Caching,0.0,0,,81.0,81.0,,1129791.0,1.08,,13963.0,13.64,,90892.0,88.76,,46408.0,45.32,
