Topic,Repos,Tag,TagID,Metrics,composition,total
tutorials/ documentation,microsoft/computervision-recipes,v2019.09,0,Dependencies,54.76,23
tutorials/ documentation,microsoft/computervision-recipes,v2019.09,0,Permissions,0.0,0
tutorials/ documentation,microsoft/computervision-recipes,v2019.09,0,Environment,0.0,0
tutorials/ documentation,microsoft/computervision-recipes,v2019.09,0,Build/Execute,28.57,12
tutorials/ documentation,microsoft/computervision-recipes,v2019.09,0,Filesystem,16.67,7
tutorials/ documentation,microsoft/computervision-recipes,1.1,1,Dependencies,54.76,23
tutorials/ documentation,microsoft/computervision-recipes,1.1,1,Permissions,0.0,0
tutorials/ documentation,microsoft/computervision-recipes,1.1,1,Environment,0.0,0
tutorials/ documentation,microsoft/computervision-recipes,1.1,1,Build/Execute,28.57,12
tutorials/ documentation,microsoft/computervision-recipes,1.1,1,Filesystem,16.67,7
tutorials/ documentation,microsoft/computervision-recipes,1.2,2,Dependencies,54.76,23
tutorials/ documentation,microsoft/computervision-recipes,1.2,2,Permissions,0.0,0
tutorials/ documentation,microsoft/computervision-recipes,1.2,2,Environment,0.0,0
tutorials/ documentation,microsoft/computervision-recipes,1.2,2,Build/Execute,28.57,12
tutorials/ documentation,microsoft/computervision-recipes,1.2,2,Filesystem,16.67,7
tutorials/ documentation,yandexdataschool/Practical_RL,spring19,0,Dependencies,26.92,7
tutorials/ documentation,yandexdataschool/Practical_RL,spring19,0,Permissions,15.38,4
tutorials/ documentation,yandexdataschool/Practical_RL,spring19,0,Environment,0.0,0
tutorials/ documentation,yandexdataschool/Practical_RL,spring19,0,Build/Execute,23.08,6
tutorials/ documentation,yandexdataschool/Practical_RL,spring19,0,Filesystem,34.62,9
tutorials/ documentation,yandexdataschool/Practical_RL,spring20,1,Dependencies,26.92,7
tutorials/ documentation,yandexdataschool/Practical_RL,spring20,1,Permissions,15.38,4
tutorials/ documentation,yandexdataschool/Practical_RL,spring20,1,Environment,0.0,0
tutorials/ documentation,yandexdataschool/Practical_RL,spring20,1,Build/Execute,23.08,6
tutorials/ documentation,yandexdataschool/Practical_RL,spring20,1,Filesystem,34.62,9
tutorials/ documentation,prabhuomkar/pytorch-cpp,v1.4,0,Dependencies,51.85,14
tutorials/ documentation,prabhuomkar/pytorch-cpp,v1.4,0,Permissions,18.52,5
tutorials/ documentation,prabhuomkar/pytorch-cpp,v1.4,0,Environment,0.0,0
tutorials/ documentation,prabhuomkar/pytorch-cpp,v1.4,0,Build/Execute,22.22,6
tutorials/ documentation,prabhuomkar/pytorch-cpp,v1.4,0,Filesystem,7.41,2
tutorials/ documentation,prabhuomkar/pytorch-cpp,v1.5,1,Dependencies,51.85,14
tutorials/ documentation,prabhuomkar/pytorch-cpp,v1.5,1,Permissions,18.52,5
tutorials/ documentation,prabhuomkar/pytorch-cpp,v1.5,1,Environment,0.0,0
tutorials/ documentation,prabhuomkar/pytorch-cpp,v1.5,1,Build/Execute,22.22,6
tutorials/ documentation,prabhuomkar/pytorch-cpp,v1.5,1,Filesystem,7.41,2
tutorials/ documentation,prabhuomkar/pytorch-cpp,v1.7,2,Dependencies,51.85,14
tutorials/ documentation,prabhuomkar/pytorch-cpp,v1.7,2,Permissions,18.52,5
tutorials/ documentation,prabhuomkar/pytorch-cpp,v1.7,2,Environment,0.0,0
tutorials/ documentation,prabhuomkar/pytorch-cpp,v1.7,2,Build/Execute,22.22,6
tutorials/ documentation,prabhuomkar/pytorch-cpp,v1.7,2,Filesystem,7.41,2
tutorials/ documentation,JdeRobot/RoboticsAcademy,JdeRobot-TR-0.1.4,0,Dependencies,38.14,90
tutorials/ documentation,JdeRobot/RoboticsAcademy,JdeRobot-TR-0.1.4,0,Permissions,4.24,10
tutorials/ documentation,JdeRobot/RoboticsAcademy,JdeRobot-TR-0.1.4,0,Environment,0.0,0
tutorials/ documentation,JdeRobot/RoboticsAcademy,JdeRobot-TR-0.1.4,0,Build/Execute,21.19,50
tutorials/ documentation,JdeRobot/RoboticsAcademy,JdeRobot-TR-0.1.4,0,Filesystem,36.44,86
tutorials/ documentation,JdeRobot/RoboticsAcademy,introrobs,1,Dependencies,38.14,90
tutorials/ documentation,JdeRobot/RoboticsAcademy,introrobs,1,Permissions,4.24,10
tutorials/ documentation,JdeRobot/RoboticsAcademy,introrobs,1,Environment,0.0,0
tutorials/ documentation,JdeRobot/RoboticsAcademy,introrobs,1,Build/Execute,21.19,50
tutorials/ documentation,JdeRobot/RoboticsAcademy,introrobs,1,Filesystem,36.44,86
tutorials/ documentation,JdeRobot/RoboticsAcademy,v2.3.2,2,Dependencies,38.14,90
tutorials/ documentation,JdeRobot/RoboticsAcademy,v2.3.2,2,Permissions,4.24,10
tutorials/ documentation,JdeRobot/RoboticsAcademy,v2.3.2,2,Environment,0.0,0
tutorials/ documentation,JdeRobot/RoboticsAcademy,v2.3.2,2,Build/Execute,21.19,50
tutorials/ documentation,JdeRobot/RoboticsAcademy,v2.3.2,2,Filesystem,36.44,86
